DateTime,Tool,FPD,Temperature,Pressure
2022/1/1,A,0.69,23.68,453
2022/1/7,A,0.56,23.91,634
2022/1/26,A,0.71,23.59,433
2022/2/14,A,0.8,22.62,522
2022/3/2,A,0.82,23.25,427
2022/3/9,A,0.72,22.24,641
2022/3/29,A,0.87,23.82,583
2022/4/21,A,0.78,22.84,693
2022/4/24,A,0.43,22.46,580
2022/5/24,A,0.81,22.88,422
2022/6/1,A,0.78,23.47,672
2022/6/26,A,0.85,22.13,501
2022/7/24,A,0.63,22.14,637
2022/8/16,A,0.4,23.56,632
2022/8/22,A,0.67,22.37,692
2022/9/12,A,0.66,22.43,508
2022/9/16,A,0.85,23.51,630
2022/10/7,A,0.43,23.37,552
2022/10/14,A,0.49,22.55,544
2022/10/18,A,0.77,22.3,556
2022/10/27,A,0.33,23.26,528
2022/10/30,A,0.43,23.48,678
2022/11/28,A,0.32,22.53,645
2022/12/3,A,0.71,22.05,424
2022/12/4,A,0.55,23.52,510
2022/12/23,A,0.48,22.08,599
2023/1/18,A,0.89,22.57,537
2023/2/9,A,0.37,23.77,555
2023/2/28,A,0.83,22.29,461
2023/3/28,A,0.3,23.44,431
2023/3/30,A,0.62,23.65,488
2023/4/6,A,0.56,22.16,624
2023/4/7,A,0.36,23.07,422
2023/4/19,A,0.62,23.13,686
2023/4/23,A,0.43,22.67,551
2023/5/2,A,0.34,23.13,449
2023/5/10,A,0.87,23.16,689
2023/5/27,A,0.77,22.12,594
2023/6/7,A,0.79,22.22,635
2023/7/2,A,0.43,22.29,464
2023/7/15,A,0.82,23.06,660
2023/7/16,A,0.49,23.83,694
2023/8/8,A,0.71,23.68,458
2023/8/24,A,0.55,23.32,401
2023/9/13,A,0.77,22.84,601
2023/10/1,A,0.64,22.29,531
2023/10/22,A,0.64,23.36,485
2023/10/26,A,0.38,22.71,631
2023/11/25,A,0.43,23.53,680
2023/12/5,A,0.46,22.6,472
2023/12/24,A,0.61,23.26,448
2024/1/21,A,0.76,22.79,646
2024/2/9,A,0.85,22.28,575
2024/2/29,A,0.66,22.13,594
2024/3/9,A,0.39,22.6,661
2024/3/18,A,0.31,23.48,670
2024/4/10,A,0.41,23.75,515
2024/4/12,A,0.76,23.39,675
2024/4/25,A,0.53,22.31,604
2024/5/21,A,0.54,23.78,503
2024/5/31,A,0.41,23.36,433
2024/6/19,A,0.59,23.51,477
2024/6/20,A,0.8,22.23,626
2024/6/29,A,0.5,23.61,451
2024/7/17,A,0.54,22.41,691
2024/8/13,A,0.39,23.28,599
2024/9/8,A,0.87,22.96,676
2024/10/4,A,0.57,23.2,450
2024/10/28,A,0.7,23.68,542
2024/11/3,A,0.78,22.73,696
2024/12/2,A,0.34,22.43,446
2024/12/16,A,0.62,22.08,408
2022/1/1,B,0.56,22.77,613
2022/1/22,B,0.65,22.45,411
2022/2/8,B,0.52,22.82,549
